product_id,address,price,area,bedrooms_num,bathrooms_num
42093688,"Thanh Xuân, Hà Nội",Giá thỏa thuận,"1.431,59 m²",0,0
42090433,"Nam Từ Liêm, Hà Nội",20 triệu/tháng,80 m²,0,0
41468417,"Hà Đông, Hà Nội",10 triệu/tháng,144 m²,0,0
37655388,"Quận 7, Hồ Chí Minh",Giá thỏa thuận,80 m²,2,2
42062765,"Bình Tân, Hồ Chí Minh",60 triệu/tháng,700 m²,0,2
41832547,"Quận 1, Hồ Chí Minh",Giá thỏa thuận,42 m²,0,0
41972910,"Bình Thạnh, Hồ Chí Minh",357 nghìn/m²,87 m²,0,0
41490455,"Gia Lâm, Hà Nội",10 triệu/tháng,60 m²,2,2
41585343,"Nam Từ Liêm, Hà Nội",10 triệu/tháng,60 m²,2,1
42089120,"Cầu Giấy, Hà Nội","5,8 triệu/tháng",28 m²,0,0
41874945,"Hoàn Kiếm, Hà Nội",185 triệu/tháng,200 m²,0,0
42000920,"Nam Từ Liêm, Hà Nội",Giá thỏa thuận,171 m²,0,0
41582319,"Thanh Xuân, Hà Nội","5,5 triệu/tháng",25 m²,1,1
42087380,"Gò Vấp, Hồ Chí Minh",22 triệu/tháng,100 m²,4,3
42039095,"Hà Đông, Hà Nội","2,5 triệu/tháng",35 m²,1,1
35639196,"Bình Thạnh, Hồ Chí Minh",17 triệu/tháng,86 m²,2,2
41740879,"Quận 9, Hồ Chí Minh",20 triệu/tháng,100 m²,4,4
40875019,"Bình Thạnh, Hồ Chí Minh",17 triệu/tháng,89 m²,2,2
41775649,"Quận 10, Hồ Chí Minh",27 triệu/tháng,107 m²,3,2
41707436,"Tây Hồ, Hà Nội",85 triệu/tháng,145 m²,3,3
42143999,"Quận 2, Hồ Chí Minh",100 triệu/tháng,170 m²,6,5
40889611,"Quận 2, Hồ Chí Minh",32 triệu/tháng,70 m²,2,2
42109943,"Thanh Xuân, Hà Nội",Giá thỏa thuận,50 m²,1,1
41549907,"Bình Thạnh, Hồ Chí Minh",21 triệu/tháng,80 m²,2,2
41735438,"Đống Đa, Hà Nội",8 triệu/tháng,40 m²,0,10
42143808,"Tân Uyên, Bình Dương",33 triệu/tháng,85 m²,3,4
41824552,"Nhà Bè, Hồ Chí Minh",13 triệu/tháng,120 m²,1,1
42141631,"Quận 12, Hồ Chí Minh",40 triệu/tháng,196 m²,0,0
41327552,"Bình Chánh, Hồ Chí Minh","5,5 triệu/tháng",81 m²,0,0
